Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2013,60.9,62.7,60.5,62.1,61.7372133757962,125600,1134,7754194,46025,36.64,2.2,1.2
2-January-2013,62.15,63.1,61.6,61.75,62.38581060269,87657,854,5468553,39451,45.01,1.5,-0.4
3-January-2013,62,62.8,61.45,61.6,62.0228548787677,103479,871,6418063,49693,48.02,1.35,-0.4
4-January-2013,62.1,62.8,61.65,62.55,62.2483789812221,77112,759,4800097,31322,40.62,1.15,0.45
7-January-2013,62.45,64.6,62.45,64.2,63.9060909053281,169121,1363,10807862,97831,57.85,2.15,1.75
8-January-2013,65,66.2,63.9,64.1,64.99387004908,198044,2043,12871646,82132,41.47,2.3,-0.9
9-January-2013,64,64.5,63.15,63.35,63.8577077307848,71571,655,4570360,42986,60.06,1.35,-0.65
10-January-2013,64.2,64.45,63.15,63.7,63.7156073531179,49938,581,3181830,19713,39.47,1.3,-0.5
11-January-2013,64.2,64.55,59.55,60.35,61.3482993270992,184574,1411,11323301,105687,57.26,5,-3.85
14-January-2013,60.35,61.8,59.6,59.95,60.4507235464607,96953,960,5860879,49744,51.31,2.2,-0.4
15-January-2013,60.75,61.65,59.5,59.65,60.4248567281929,107488,1057,6494947,46212,42.99,2.15,-1.1
16-January-2013,60.2,60.3,58.8,59.1,59.5705308490069,45512,617,2711174,20945,46.02,1.5,-1.1
17-January-2013,59.35,60.05,59.35,59.8,59.6835623860894,40602,452,2423272,20089,49.48,0.7,0.45
18-January-2013,60.15,60.65,59.1,59.25,59.6915587545387,31121,410,1857661,15153,48.69,1.55,-0.9
21-January-2013,59.25,60,56,59.15,59.1918994413408,35800,473,2119070,17857,49.88,4,-0.1
22-January-2013,60,60.75,58.95,59.35,60.0382164172952,400273,3145,24031677,107650,26.89,1.8,-0.65
23-January-2013,59.9,60.75,58.3,58.8,59.4179279045125,100034,882,5943813,46309,46.29,2.45,-1.1
24-January-2013,58.9,59.4,57.35,58.5,58.2906712669782,91588,1029,5338726,40259,43.96,2.05,-0.4
25-January-2013,59.5,59.7,58.05,59.1,58.8625305094087,63505,889,3738065,21449,33.78,1.65,-0.4
28-January-2013,59.95,60,59.35,59.85,59.7271426778768,39845,483,2379828,12877,32.32,0.65,-0.1
