Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2013,112.1,114.45,112.1,113.65,113.468955162201,362975,3043,41186394,135707,37.39,2.35,1.55
2-January-2013,114.95,115.5,114.15,114.6,114.804688445891,520343,4227,59737816,231580,44.51,1.35,-0.35
3-January-2013,115,115.8,113.4,114.5,114.811430197588,284632,2393,32679007,84922,29.84,2.4,-0.5
4-January-2013,114.6,116.9,113.7,116.55,115.252480942256,647637,3551,74641771,323470,49.95,3.2,1.95
7-January-2013,116.95,117.7,115.7,116.25,116.856158694182,323843,2675,37843049,90884,28.06,2,-0.7
8-January-2013,116.4,117.3,115.15,116.2,116.143550746083,233151,2126,27078985,48390,20.75,2.15,-0.2
9-January-2013,116.5,118.2,115.65,116.45,117.207580262454,379723,3159,44506414,98223,25.87,2.55,-0.05
10-January-2013,117.95,117.95,115.6,116.65,116.723437365977,244827,2283,28577049,78819,32.19,2.35,-1.3
11-January-2013,116.95,117.5,113.25,114,115.356106116668,213237,1974,24598190,62899,29.5,4.25,-2.95
14-January-2013,114,116.4,112,115.85,114.631826113654,319197,2929,36590135,71189,22.3,4.4,1.85
15-January-2013,116.2,116.9,114.4,115.3,115.440166827077,183903,1594,21229793,39378,21.41,2.5,-0.9
16-January-2013,115.3,116.35,112.4,113.1,114.485169036507,293339,2377,33582965,67210,22.91,3.95,-2.2
17-January-2013,113.3,115.35,112.5,114.4,114.141207260853,249888,2346,28522518,50705,20.29,2.85,1.1
18-January-2013,115.2,115.9,113.05,113.35,114.418831297257,328655,2750,37604321,68638,20.88,2.85,-1.85
21-January-2013,114.25,114.8,111.2,112.1,112.773077631262,353015,3029,39810588,83747,23.72,3.6,-2.15
22-January-2013,112,113.45,109.45,109.9,111.270876692236,252255,2230,28068635,63378,25.12,4,-2.1
23-January-2013,110,110.4,106.8,108.2,108.487887659754,285205,2555,30941288,67607,23.7,3.6,-1.8
24-January-2013,108.4,108.45,104.55,105,106.153734101763,283522,2535,30096919,80520,28.4,3.9,-3.4
25-January-2013,104,108.5,102.9,108,106.325457310347,339977,2994,36148210,58089,17.09,5.6,4
28-January-2013,108.5,109.15,106.6,107.95,107.971162863395,204736,1949,22105584,48449,23.66,2.55,-0.55
29-January-2013,107.95,110.9,106.9,107.1,108.626189139468,514763,4637,55916743,73006,14.18,4,-0.85
30-January-2013,108,108.45,105.6,106.4,106.786391432507,222889,1876,23801512,58929,26.44,2.85,-1.6
31-January-2013,106.45,108.4,105.75,107.6,107.250214265308,168016,1676,18019752,37561,22.36,2.65,1.15
1-February-2013,107.95,107.95,105,105.75,106.27290676868,145863,1439,15501285,40211,27.57,2.95,-2.2
4-February-2013,106,106.5,101.7,102.2,103.872844680207,204726,2481,21265472,73537,35.92,4.8,-3.8
5-February-2013,101,102.5,99.9,101.85,101.378466421301,238827,2124,24211915,80787,33.83,2.6,0.85
6-February-2013,102.95,103.95,100.2,101.3,101.668629507674,150632,1522,15314549,44418,29.49,3.75,-1.65
7-February-2013,101,102.6,99.1,100.7,100.595063582797,215703,2742,21698657,57558,26.68,3.5,-0.3
